Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
414;1491933398385;1491933398386
415;1491933398477;1491933398478
416;1491933398572;1491933398573
417;1491933398665;1491933398666
418;1491933398757;1491933398758
419;1491933398849;1491933398850
420;1491933398941;1491933398942
421;1491933399033;1491933399034
422;1491933399125;1491933399126
423;1491933399217;1491933399218
424;1491933399309;1491933399310
425;1491933399401;1491933399402
426;1491933399493;1491933399494
427;1491933399585;1491933399586
428;1491933399677;1491933399678
429;1491933399769;1491933399770
430;1491933399861;1491933399862
431;1491933399953;1491933399954
432;1491933400045;1491933400046
433;1491933400137;1491933400138
434;1491933400229;1491933400230
435;1491933400321;1491933400322
436;1491933400413;1491933400420
437;1491933400512;1491933400514
438;1491933400605;1491933400606
439;1491933400697;1491933400698
440;1491933400789;1491933400790
441;1491933400881;1491933400882
442;1491933400973;1491933400974
443;1491933401065;1491933401066
444;1491933401157;1491933401158
445;1491933401249;1491933401250
446;1491933401341;1491933401342
447;1491933401433;1491933401434
448;1491933401525;1491933401526
449;1491933401617;1491933401618
450;1491933401712;1491933401713
451;1491933401805;1491933401806
452;1491933401900;1491933401901
453;1491933401993;1491933401994
454;1491933402085;1491933402086
455;1491933402177;1491933402178
456;1491933402269;1491933402270
457;1491933402361;1491933402362
458;1491933402453;1491933402454
459;1491933402545;1491933402546
460;1491933402637;1491933402638
461;1491933402729;1491933402730
462;1491933402821;1491933402822
463;1491933402913;1491933402915
464;1491933403009;1491933403010
465;1491933403101;1491933403102
466;1491933403193;1491933403194
467;1491933403285;1491933403286
468;1491933403380;1491933403381
469;1491933403473;1491933403474
470;1491933403565;1491933403566
471;1491933403658;1491933403659
472;1491933403753;1491933403754
473;1491933403849;1491933403850
474;1491933403941;1491933403942
475;1491933404037;1491933404038
476;1491933404132;1491933404133
477;1491933404225;1491933404226
478;1491933404320;1491933404321
479;1491933404413;1491933404414
480;1491933404505;1491933404506
481;1491933404597;1491933404598
482;1491933404692;1491933404693
483;1491933404785;1491933404786
484;1491933404880;1491933404881
485;1491933404976;1491933404977
486;1491933405069;1491933405070
487;1491933405164;1491933405165
488;1491933405260;1491933405261
489;1491933405356;1491933405359
490;1491933405453;1491933405456
491;1491933405552;1491933405553
492;1491933405648;1491933405649
493;1491933405741;1491933405742
494;1491933405836;1491933405837
495;1491933405932;1491933405933
496;1491933406029;1491933406030
497;1491933406125;1491933406126
498;1491933406221;1491933406222
499;1491933406317;1491933406318
500;1491933406413;1491933406415
501;1491933406513;1491933406514
502;1491933406605;1491933406606
503;1491933406702;1491933406703
504;1491933406801;1491933406802
505;1491933406897;1491933406898
506;1491933406993;1491933406994
507;1491933407089;1491933407090
508;1491933407185;1491933407186
509;1491933407281;1491933407282
510;1491933407377;1491933407378
511;1491933407473;1491933407474
512;1491933407569;1491933407570
513;1491933407664;1491933407665
514;1491933407761;1491933407762
515;1491933407857;1491933407858
516;1491933407953;1491933407954
517;1491933408049;1491933408050
518;1491933408145;1491933408146
519;1491933408241;1491933408242
520;1491933408337;1491933408338
521;1491933408433;1491933408434
522;1491933408529;1491933408530
523;1491933408625;1491933408626
524;1491933408721;1491933408722
525;1491933408817;1491933408818
526;1491933408913;1491933408914
527;1491933409009;1491933409010
528;1491933409105;1491933409106
529;1491933409201;1491933409202
530;1491933409297;1491933409298
531;1491933409393;1491933409394
532;1491933409489;1491933409490
533;1491933409585;1491933409587
534;1491933409681;1491933409682
535;1491933409777;1491933409778
536;1491933409873;1491933409874
537;1491933409969;1491933409970
538;1491933410065;1491933410066
539;1491933410161;1491933410162
540;1491933410257;1491933410258
541;1491933410353;1491933410354
542;1491933410449;1491933410450
543;1491933410545;1491933410546
544;1491933410641;1491933410642
545;1491933410737;1491933410740
546;1491933410837;1491933410838
547;1491933410933;1491933410934
548;1491933411029;1491933411030
549;1491933411125;1491933411126
550;1491933411221;1491933411222
551;1491933411317;1491933411318
552;1491933411413;1491933411414
553;1491933411509;1491933411510
554;1491933411605;1491933411606
555;1491933411701;1491933411702
556;1491933411797;1491933411798
557;1491933411893;1491933411894
558;1491933411989;1491933411990
559;1491933412085;1491933412086
560;1491933412181;1491933412182
561;1491933412277;1491933412278
562;1491933412374;1491933412375
563;1491933412473;1491933412474
564;1491933412569;1491933412570
565;1491933412665;1491933412666
566;1491933412761;1491933412762
567;1491933412857;1491933412857
568;1491933412953;1491933412955
569;1491933413049;1491933413050
570;1491933413145;1491933413146
571;1491933413241;1491933413242
572;1491933413337;1491933413338
573;1491933413433;1491933413434
574;1491933413529;1491933413530
575;1491933413625;1491933413626
576;1491933413721;1491933413722
577;1491933413817;1491933413818
578;1491933413913;1491933413914
579;1491933414009;1491933414010
580;1491933414105;1491933414106
581;1491933414201;1491933414202
582;1491933414297;1491933414298
583;1491933414393;1491933414394
584;1491933414489;1491933414490
585;1491933414585;1491933414586
586;1491933414681;1491933414682
587;1491933414777;1491933414778
588;1491933414873;1491933414874
589;1491933414969;1491933414970
590;1491933415065;1491933415066
591;1491933415161;1491933415162
592;1491933415257;1491933415258
593;1491933415353;1491933415354
594;1491933415449;1491933415450
595;1491933415545;1491933415546
596;1491933415641;1491933415642
597;1491933415737;1491933415738
598;1491933415833;1491933415834
599;1491933415929;1491933415930
600;1491933416025;1491933416026
601;1491933416121;1491933416122
602;1491933416217;1491933416218
603;1491933416313;1491933416314
604;1491933416409;1491933416410
605;1491933416505;1491933416506
606;1491933416601;1491933416602
607;1491933416697;1491933416698
608;1491933416793;1491933416794
609;1491933416889;1491933416890
610;1491933416985;1491933416986
611;1491933417081;1491933417082
612;1491933417177;1491933417178
613;1491933417276;1491933417277
614;1491933417377;1491933417378
615;1491933417477;1491933417478
616;1491933417581;1491933417582
617;1491933417681;1491933417682
618;1491933417780;1491933417781
619;1491933417880;1491933417881
620;1491933417980;1491933417981
621;1491933418080;1491933418082
622;1491933418180;1491933418181
623;1491933418280;1491933418281
624;1491933418380;1491933418381
625;1491933418481;1491933418482
626;1491933418581;1491933418582
627;1491933418680;1491933418681
628;1491933418781;1491933418782
629;1491933418881;1491933418882
630;1491933418981;1491933418982
631;1491933419081;1491933419082
632;1491933419181;1491933419182
633;1491933419281;1491933419282
634;1491933419381;1491933419382
635;1491933419481;1491933419482
636;1491933419581;1491933419582
637;1491933419681;1491933419682
638;1491933419781;1491933419782
639;1491933419881;1491933419882
640;1491933419981;1491933419982
641;1491933420081;1491933420082
642;1491933420181;1491933420182
643;1491933420281;1491933420282
644;1491933420381;1491933420383
645;1491933420485;1491933420486
646;1491933420585;1491933420586
647;1491933420685;1491933420686
648;1491933420785;1491933420786
649;1491933420885;1491933420886
650;1491933420985;1491933420986
651;1491933421085;1491933421086
652;1491933421185;1491933421186
653;1491933421285;1491933421286
654;1491933421384;1491933421385
655;1491933421485;1491933421486
656;1491933421585;1491933421586
657;1491933421685;1491933421686
658;1491933421785;1491933421786
659;1491933421885;1491933421886
660;1491933421985;1491933421986
661;1491933422085;1491933422086
662;1491933422188;1491933422190
663;1491933422292;1491933422293
664;1491933422392;1491933422394
665;1491933422497;1491933422498
666;1491933422597;1491933422598
667;1491933422697;1491933422698
668;1491933422797;1491933422798
669;1491933422897;1491933422898
670;1491933422997;1491933422998
671;1491933423097;1491933423098
672;1491933423197;1491933423198
673;1491933423297;1491933423298
674;1491933423397;1491933423398
675;1491933423497;1491933423498
676;1491933423597;1491933423598
677;1491933423697;1491933423698
678;1491933423797;1491933423798
679;1491933423897;1491933423898
680;1491933423997;1491933423998
681;1491933424097;1491933424098
682;1491933424197;1491933424198
683;1491933424297;1491933424298
684;1491933424397;1491933424398
685;1491933424497;1491933424498
686;1491933424597;1491933424598
687;1491933424697;1491933424698
688;1491933424797;1491933424799
689;1491933424897;1491933424898
690;1491933424997;1491933424998
691;1491933425097;1491933425098
692;1491933425197;1491933425198
693;1491933425297;1491933425297
694;1491933425397;1491933425398
695;1491933425497;1491933425498
696;1491933425597;1491933425598
697;1491933425697;1491933425698
698;1491933425797;1491933425798
699;1491933425897;1491933425898
700;1491933425997;1491933425998
701;1491933426097;1491933426098
702;1491933426197;1491933426198
703;1491933426297;1491933426298
704;1491933426397;1491933426398
705;1491933426497;1491933426498
706;1491933426597;1491933426598
707;1491933426697;1491933426698
708;1491933426797;1491933426798
709;1491933426897;1491933426898
710;1491933426996;1491933426998
711;1491933427101;1491933427102
712;1491933427201;1491933427202
713;1491933427301;1491933427302
714;1491933427401;1491933427402
715;1491933427501;1491933427502
716;1491933427601;1491933427602
717;1491933427701;1491933427702
718;1491933427801;1491933427802
719;1491933427901;1491933427902
720;1491933428001;1491933428002
721;1491933428101;1491933428102
722;1491933428201;1491933428202
723;1491933428301;1491933428302
724;1491933428401;1491933428402
725;1491933428501;1491933428502
726;1491933428601;1491933428602
727;1491933428701;1491933428702
728;1491933428801;1491933428802
729;1491933428901;1491933428902
730;1491933429004;1491933429005
731;1491933429105;1491933429106
732;1491933429205;1491933429206
733;1491933429305;1491933429306
734;1491933429405;1491933429406
735;1491933429505;1491933429506
736;1491933429605;1491933429606
737;1491933429705;1491933429706
738;1491933429808;1491933429809
739;1491933429912;1491933429913
740;1491933430016;1491933430017
741;1491933430117;1491933430118
742;1491933430217;1491933430218
743;1491933430320;1491933430321
744;1491933430425;1491933430426
745;1491933430529;1491933430530
746;1491933430632;1491933430633
747;1491933430736;1491933430737
748;1491933430840;1491933430841
749;1491933430941;1491933430942
750;1491933431044;1491933431045
751;1491933431149;1491933431150
752;1491933431252;1491933431253
753;1491933431353;1491933431354
754;1491933431457;1491933431458
755;1491933431561;1491933431562
756;1491933431665;1491933431666
757;1491933431769;1491933431770
758;1491933431872;1491933431873
759;1491933431976;1491933431978
760;1491933432077;1491933432078
761;1491933432180;1491933432181
762;1491933432284;1491933432285
763;1491933432389;1491933432390
764;1491933432493;1491933432494
765;1491933432597;1491933432598
766;1491933432701;1491933432702
767;1491933432805;1491933432806
768;1491933432909;1491933432910
769;1491933433013;1491933433014
770;1491933433117;1491933433118
771;1491933433220;1491933433221
772;1491933433325;1491933433326
773;1491933433429;1491933433430
774;1491933433533;1491933433534
775;1491933433637;1491933433638
776;1491933433741;1491933433745
777;1491933433849;1491933433850
778;1491933433953;1491933433956
779;1491933434061;1491933434062
780;1491933434165;1491933434166
781;1491933434269;1491933434270
782;1491933434373;1491933434374
783;1491933434477;1491933434478
784;1491933434581;1491933434582
785;1491933434685;1491933434686
786;1491933434789;1491933434790
787;1491933434893;1491933434894
788;1491933434997;1491933434998
789;1491933435101;1491933435102
790;1491933435205;1491933435206
791;1491933435309;1491933435310
792;1491933435413;1491933435414
793;1491933435517;1491933435518
794;1491933435621;1491933435623
795;1491933435725;1491933435726
796;1491933435829;1491933435830
797;1491933435933;1491933435934
798;1491933436037;1491933436038
799;1491933436141;1491933436142
800;1491933436245;1491933436246
801;1491933436349;1491933436350
802;1491933436453;1491933436454
803;1491933436557;1491933436558
804;1491933436661;1491933436662
805;1491933436765;1491933436766
806;1491933436869;1491933436870
807;1491933436973;1491933436974
808;1491933437077;1491933437078
809;1491933437181;1491933437182
810;1491933437285;1491933437286
811;1491933437389;1491933437390
812;1491933437493;1491933437494
813;1491933437597;1491933437598
814;1491933437702;1491933437703
815;1491933437813;1491933437814
816;1491933437921;1491933437922
817;1491933438029;1491933438030
818;1491933438133;1491933438134
819;1491933438237;1491933438238
820;1491933438341;1491933438342
821;1491933438445;1491933438446
822;1491933438549;1491933438550
823;1491933438653;1491933438654
824;1491933438757;1491933438758
825;1491933438861;1491933438862
826;1491933438965;1491933438966
827;1491933439069;1491933439070
828;1491933439173;1491933439174
829;1491933439277;1491933439278
830;1491933439381;1491933439382
831;1491933439485;1491933439486
832;1491933439589;1491933439590
833;1491933439695;1491933439696
834;1491933439801;1491933439802
835;1491933439905;1491933439908
836;1491933440013;1491933440014
837;1491933440117;1491933440118
838;1491933440221;1491933440224
839;1491933440329;1491933440330
840;1491933440432;1491933440434
841;1491933440537;1491933440538
842;1491933440641;1491933440642
843;1491933440749;1491933440750
844;1491933440853;1491933440854
845;1491933440957;1491933440961
846;1491933441065;1491933441066
847;1491933441169;1491933441170
848;1491933441273;1491933441274
849;1491933441377;1491933441378
850;1491933441480;1491933441482
851;1491933441585;1491933441586
852;1491933441689;1491933441691
853;1491933441793;1491933441794
854;1491933441897;1491933441898
855;1491933442001;1491933442002
856;1491933442105;1491933442106
857;1491933442212;1491933442214
858;1491933442317;1491933442318
859;1491933442421;1491933442422
860;1491933442528;1491933442529
861;1491933442640;1491933442642
862;1491933442748;1491933442750
863;1491933442856;1491933442857
864;1491933442965;1491933442966
865;1491933443069;1491933443070
866;1491933443173;1491933443174
867;1491933443277;1491933443278
868;1491933443385;1491933443386
869;1491933443492;1491933443494
870;1491933443601;1491933443603
871;1491933443705;1491933443706
872;1491933443809;1491933443810
873;1491933443913;1491933443914
874;1491933444021;1491933444022
875;1491933444128;1491933444129
876;1491933444236;1491933444237
877;1491933444344;1491933444345
878;1491933444453;1491933444454
879;1491933444560;1491933444561
880;1491933444668;1491933444669
881;1491933444776;1491933444777
882;1491933444884;1491933444885
883;1491933444993;1491933444994
884;1491933445100;1491933445101
885;1491933445208;1491933445209
886;1491933445317;1491933445318
887;1491933445425;1491933445426
888;1491933445533;1491933445534
889;1491933445641;1491933445642
890;1491933445749;1491933445750
891;1491933445857;1491933445860
892;1491933445969;1491933445970
893;1491933446077;1491933446078
894;1491933446184;1491933446186
895;1491933446296;1491933446298
896;1491933446408;1491933446409
897;1491933446520;1491933446521
898;1491933446629;1491933446630
899;1491933446737;1491933446738
900;1491933446845;1491933446846
901;1491933446953;1491933446954
902;1491933447061;1491933447062
903;1491933447169;1491933447170
904;1491933447277;1491933447278
905;1491933447385;1491933447386
906;1491933447493;1491933447494
907;1491933447601;1491933447602
908;1491933447709;1491933447710
909;1491933447817;1491933447818
910;1491933447925;1491933447926
911;1491933448033;1491933448034
912;1491933448141;1491933448142
913;1491933448249;1491933448250
914;1491933448357;1491933448358
915;1491933448465;1491933448466
916;1491933448572;1491933448574
917;1491933448681;1491933448682
918;1491933448789;1491933448790
919;1491933448897;1491933448898
920;1491933449005;1491933449006
921;1491933449113;1491933449114
922;1491933449221;1491933449222
923;1491933449329;1491933449330
924;1491933449437;1491933449438
925;1491933449545;1491933449546
926;1491933449653;1491933449654
927;1491933449761;1491933449762
928;1491933449869;1491933449870
929;1491933449977;1491933449978
930;1491933450085;1491933450086
931;1491933450193;1491933450194
932;1491933450301;1491933450302
933;1491933450409;1491933450410
934;1491933450517;1491933450518
935;1491933450628;1491933450629
936;1491933450737;1491933450738
937;1491933450845;1491933450846
938;1491933450953;1491933450954
939;1491933451061;1491933451062
940;1491933451173;1491933451174
941;1491933451281;1491933451282
942;1491933451389;1491933451390
943;1491933451497;1491933451498
944;1491933451605;1491933451606
945;1491933451713;1491933451714
946;1491933451821;1491933451822
947;1491933451929;1491933451930
948;1491933452037;1491933452038
949;1491933452145;1491933452146
