Contador;Tempo;Tempo Milisegundos;;;Total Hosts Ativos;Total CPU Alocada;Total CPU Usada;Total RAM Alocada;Total RAM Usada;CPU Limite Superior;CPU Limite Inferior;% Carga de CPU;Load Calculado;Threshold Inferior;Threshold Superior;Tempos de Monitoramento;;;;;;
100;1485;1,49203E+12;21:52:59;00:21:15;4;400;322,2;3072;3072;320;160;0,80550003;0,7893446;0,4;0,8;;1492033975;1492033976;1492033972;1492033974;;
101;1500;1,49203E+12;21:53:14;00:21:30;4;400;300,6;3072;3072;320;160;0,7515;0,77042234;0,4;0,8;;1492033978;1492033991;1492033988;1492033990;;
102;1515;1,49203E+12;21:53:28;00:21:44;4;400;315,6;3072;3072;320;160;0,78900003;0,7797112;0,4;0,8;;1492033998;1492033996;1492033993;1492033993;;
103;1530;1,49203E+12;21:53:43;00:21:59;4;400;316,6;3072;3072;320;160;0,79150003;0,7856056;0,4;0,8;;1492034018;1492034019;1492034019;1492034017;;
104;1545;1,49203E+12;21:54:03;00:22:19;6;600;414,99997;4608;4608;480;240;0,6916666;0,73863614;0,4;0,8;;1492034021;1492034035;1492034032;1492034037;1492034036;1492034039
105;1560;1,49203E+12;21:54:13;00:22:29;6;600;435,49997;4608;4608;480;240;0,7258333;0,7322347;0,4;0,8;;1492034043;1492034050;1492034041;1492034041;1492034041;1492034039
106;1575;1,49203E+12;21:54:28;00:22:44;6;600;415,4;4608;4608;480;240;0,69233334;0,712284;0,4;0,8;;1492034062;1492034056;1492034061;1492034063;1492034059;1492034060
107;1590;1,49203E+12;21:54:45;00:23:01;6;600;426,9;4608;4608;480;240;0,7115;0,711892;0,4;0,8;;1492034078;1492034074;1492034075;1492034079;1492034079;1492034080
108;1605;1,49203E+12;21:55:05;00:23:21;6;600;430,4;4608;4608;480;240;0,7173333;0,71461266;0,4;0,8;;1492034094;1492034095;1492034097;1492034100;1492034100;1492034100
109;1620;1,49203E+12;21:55:21;00:23:37;6;600;415,4;4608;4608;480;240;0,69233334;0,703473;0,4;0,8;;1492034114;1492034115;1492034114;1492034103;1492034112;1492034116
110;1635;1,49203E+12;21:55:28;00:23:44;6;600;433,9;4608;4608;480;240;0,72316664;0,7133198;0,4;0,8;;1492034122;1492034115;1492034120;1492034123;1492034119;1492034121
111;1650;1,49203E+12;21:55:46;00:24:02;6;600;432,4;4608;4608;480;240;0,72066665;0,7169932;0,4;0,8;;1492034137;1492034135;1492034140;1492034139;1492034139;1492034142
112;1665;1,49203E+12;21:56:02;00:24:18;6;600;429,59998;4608;4608;480;240;0,71599996;0,7164966;0,4;0,8;;1492034142;1492034153;1492034155;1492034144;1492034156;1492034158
113;1680;1,49203E+12;21:56:14;00:24:30;6;600;438,4;4608;4608;480;240;0,73066664;0,7235816;0,4;0,8;;1492034163;1492034171;1492034160;1492034166;1492034160;1492034164
114;1695;1,49203E+12;21:56:31;00:24:47;6;600;444,59998;4608;4608;480;240;0,74099994;0,73229074;0,4;0,8;;1492034186;1492034177;1492034182;1492034187;1492034183;1492034184
115;1710;1,49203E+12;21:56:44;00:25:00;6;600;446,4;4608;4608;480;240;0,744;0,73814535;0,4;0,8;;1492034191;1492034199;1492034199;1492034187;1492034190;1492034200
116;1725;1,49203E+12;21:56:58;00:25:14;6;600;445,99997;4608;4608;480;240;0,7433333;0,74073935;0,4;0,8;;1492034210;1492034215;1492034204;1492034207;1492034208;1492034205
117;1740;1,49203E+12;21:57:13;00:25:29;6;600;425,9;4608;4608;480;240;0,7098333;0,72528636;0,4;0,8;;1492034229;1492034221;1492034223;1492034227;1492034227;1492034225
118;1755;1,49203E+12;21:57:30;00:25:46;6;600;433,9;4608;4608;480;240;0,72316664;0,7242265;0,4;0,8;;1492034243;1492034241;1492034244;1492034242;1492034245;1492034246
119;1770;1,49203E+12;21:57:45;00:26:01;6;600;428,9;4608;4608;480;240;0,7148333;0,71952987;0,4;0,8;;1492034248;1492034260;1492034257;1492034248;1492034260;1492034261
120;1785;1,49203E+12;21:57:58;00:26:14;6;600;423,4;4608;4608;480;240;0,70566666;0,71259826;0,4;0,8;;1492034268;1492034275;1492034264;1492034268;1492034265;1492034266
121;1800;1,49203E+12;21:58:13;00:26:29;6;600;441,4;4608;4608;480;240;0,73566663;0,7241324;0,4;0,8;;1492034287;1492034280;1492034284;1492034290;1492034285;1492034288
122;1815;1,49203E+12;21:58:29;00:26:45;6;600;441,5;4608;4608;480;240;0,73583335;0,72998285;0,4;0,8;;1492034302;1492034299;1492034303;1492034290;1492034305;1492034305
123;1830;1,49203E+12;21:58:44;00:27:00;6;600;442,4;4608;4608;480;240;0,7373333;0,7336581;0,4;0,8;;1492034307;1492034320;1492034317;1492034310;1492034320;1492034309
124;1845;1,49203E+12;21:58:58;00:27:14;6;600;432,9;4608;4608;480;240;0,7215;0,727579;0,4;0,8;;1492034327;1492034335;1492034323;1492034330;1492034324;1492034329
125;1860;1,49203E+12;21:59:13;00:27:29;6;600;449,9;4608;4608;480;240;0,74983335;0,7387062;0,4;0,8;;1492034350;1492034340;1492034343;1492034348;1492034349;1492034348
126;1875;1,49203E+12;21:59:35;00:27:51;6;600;439,4;4608;4608;480;240;0,7323333;0,73551977;0,4;0,8;;1492034365;1492034368;1492034364;1492034368;1492034369;1492034371
127;1890;1,49203E+12;21:59:44;00:28:00;6;600;445,5;4608;4608;480;240;0,7425;0,73900986;0,4;0,8;;1492034371;1492034381;1492034378;1492034373;1492034369;1492034371
128;1905;1,49203E+12;21:59:58;00:28:14;6;600;444,4;4608;4608;480;240;0,7406666;0,73983824;0,4;0,8;;1492034391;1492034386;1492034384;1492034393;1492034389;1492034391
129;1920;1,49203E+12;22:00:15;00:28:31;6;600;431,49997;4608;4608;480;240;0,71916664;0,72950244;0,4;0,8;;1492034405;1492034405;1492034409;1492034409;1492034409;1492034410
