Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
851;1492726908710;1492726908711
852;1492726908894;1492726908895
853;1492726909078;1492726909079
854;1492726909262;1492726909263
855;1492726909446;1492726909447
856;1492726909626;1492726909627
857;1492726909810;1492726909811
858;1492726909994;1492726909995
859;1492726910178;1492726910179
860;1492726910362;1492726910365
861;1492726910546;1492726910549
862;1492726910734;1492726910735
863;1492726910922;1492726910923
864;1492726911106;1492726911107
865;1492726911290;1492726911291
866;1492726911474;1492726911475
867;1492726911658;1492726911659
868;1492726911842;1492726911843
869;1492726912026;1492726912027
870;1492726912210;1492726912211
871;1492726912394;1492726912395
872;1492726912578;1492726912579
873;1492726912762;1492726912763
874;1492726912946;1492726912947
875;1492726913131;1492726913132
876;1492726913314;1492726913315
877;1492726913498;1492726913499
878;1492726913682;1492726913683
879;1492726913866;1492726913867
880;1492726914050;1492726914051
881;1492726914234;1492726914235
882;1492726914418;1492726914419
883;1492726914606;1492726914607
884;1492726914790;1492726914791
885;1492726914974;1492726914975
886;1492726915158;1492726915159
887;1492726915342;1492726915343
888;1492726915526;1492726915527
889;1492726915710;1492726915711
890;1492726915894;1492726915895
891;1492726916078;1492726916079
892;1492726916258;1492726916260
893;1492726916442;1492726916443
894;1492726916622;1492726916623
895;1492726916806;1492726916807
896;1492726916990;1492726916991
897;1492726917174;1492726917175
898;1492726917354;1492726917355
899;1492726917534;1492726917535
900;1492726917718;1492726917719
901;1492726917898;1492726917899
902;1492726918082;1492726918083
903;1492726918266;1492726918267
904;1492726918450;1492726918451
905;1492726918630;1492726918631
906;1492726918814;1492726918815
907;1492726918994;1492726918995
908;1492726919174;1492726919175
909;1492726919359;1492726919360
910;1492726919542;1492726919543
911;1492726919726;1492726919727
912;1492726919910;1492726919911
913;1492726920094;1492726920095
914;1492726920278;1492726920279
915;1492726920462;1492726920463
916;1492726920642;1492726920643
917;1492726920826;1492726920827
918;1492726921006;1492726921007
919;1492726921190;1492726921191
920;1492726921374;1492726921375
921;1492726921558;1492726921559
922;1492726921742;1492726921743
923;1492726921926;1492726921927
924;1492726922106;1492726922107
925;1492726922290;1492726922291
926;1492726922474;1492726922475
927;1492726922654;1492726922655
928;1492726922834;1492726922835
929;1492726923018;1492726923019
930;1492726923202;1492726923203
931;1492726923386;1492726923387
932;1492726923570;1492726923571
933;1492726923754;1492726923755
934;1492726923938;1492726923940
935;1492726924122;1492726924123
936;1492726924306;1492726924310
937;1492726924494;1492726924495
938;1492726924678;1492726924679
939;1492726924858;1492726924859
940;1492726925042;1492726925043
941;1492726925226;1492726925227
942;1492726925410;1492726925411
943;1492726925590;1492726925591
944;1492726925770;1492726925771
945;1492726925950;1492726925951
946;1492726926130;1492726926131
947;1492726926314;1492726926315
948;1492726926498;1492726926499
949;1492726926686;1492726926687
950;1492726926866;1492726926867
951;1492726927046;1492726927047
952;1492726927226;1492726927227
953;1492726927406;1492726927407
954;1492726927586;1492726927596
955;1492726927774;1492726927775
956;1492726927954;1492726927955
957;1492726928134;1492726928135
958;1492726928314;1492726928315
959;1492726928494;1492726928495
960;1492726928674;1492726928675
961;1492726928854;1492726928855
962;1492726929034;1492726929035
963;1492726929214;1492726929215
964;1492726929394;1492726929395
965;1492726929574;1492726929575
966;1492726929754;1492726929755
967;1492726929934;1492726929935
968;1492726930114;1492726930115
969;1492726930298;1492726930299
970;1492726930482;1492726930483
971;1492726930662;1492726930663
972;1492726930842;1492726930843
973;1492726931026;1492726931028
974;1492726931214;1492726931215
975;1492726931394;1492726931395
976;1492726931574;1492726931575
977;1492726931754;1492726931755
978;1492726931934;1492726931935
979;1492726932118;1492726932119
980;1492726932302;1492726932303
981;1492726932482;1492726932483
982;1492726932662;1492726932663
983;1492726932842;1492726932843
984;1492726933022;1492726933023
985;1492726933202;1492726933203
